,Units,A.M. Crunchwrap,"Egg, Bean, and Cheese Burrito",Grande Skillet Burrito,Steak and Egg Burrito,Sausage or Bacon and Egg Burrito,Cantina Bowl Chicken/Steak,Cantina Burrito Chicken/Steak,Black Bean Burrito,Fiesta Taco Salad,Volcano Nachos,Nachos Supreme,Nachos BellGrande,Cheesy Nachos,Tostado,Chicken/Steak Quesadilla,Cheese Quesadilla,Pintos N Cheese,Meximelt,Mexican Pizza,Enchirito,Crunchwrap Supreme,Cheesy Gordita Crunch,Cheesy Fiesta Potatos,Cheese Roll-up,XXL Grilled Stuft Burrito,Volcano Burrito,Chicken Burrito,Burrito Supreme,Beefy 5-Layer Burrito,Bean Burrito,7 Layer Burrito,1/2 lbs Combo Burrito,1/2 lbs Cheesy Potato Burrito,Gordita Supreme,Volcano Taco,Soft Taco Supreme,Soft Taco,Grilled Steak Soft Taco,Double Decker Taco Supreme,Double Decker Taco,Taco Supreme,Crunchy Taco,Crispy Potato Soft Taco,Chicken Soft Taco
6.5 in flour tortilla,-,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,1,,,,,,,1,1,1,1,1,,,1,1
8 in tortilla,-,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 in flour tortilla,-,1,1,1,1,,,,1,,,,,,,1,1,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,
12 in flour tortilla,-,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,
taco shell,-,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,,
taco shell bowl,-,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red taco shell,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
tostado shell,-,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
mexican pizza shell,-,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
flatbread shell,-,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
seasoned beef ,scoops,,,,,,,,,0.666,1,1,1,,,,,,1,1,0.333,1,0.333,,,0.666,2,,0.333,1,,,2,2,0.333,1,1,1,,1,1,1,1,,
chicken,scoops,,,,,,1,,,0.666,,,,,,0.5,,,,,0.333,,0.333,,,0.666,,1,0.333,,,,,,0.333,,,,,,,,,,1
steak,scoops,,,,1,,1,,,0.666,,,,,,0.5,,,,,0.333,,0.333,,,0.666,,,0.333,,,,,,0.333,,,,1,,,,,,
potato bites,-,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,
chunky beans (rs),red scoops,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,1,,,1,1,,,1,,,,,,,1,1,,,,
chunky beans (gs),green scoops,,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
black beans,scoops,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasoned rice,yellow scoops,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,
